country,country_long,name,capacity_mw,latitude,longitude,primary_fuel,estimated_generation_gwh_2013,estimated_generation_gwh_2014,estimated_generation_gwh_2015,estimated_generation_gwh_2016,estimated_generation_gwh_2017
RUS,Russia,Kalinn NPP,4000,57.905,35.0614,Nuclear,,,,,28565.42
RUS,Russia,Kursk,4000,51.675,35.6056,Nuclear,,,,,28565.42
RUS,Russia,Leningrad NPP,4000,59.8528,29.0486,Nuclear,,,,,28565.42
RUS,Russia,Rostov NPP,4000,47.5993,42.3717,Nuclear,,,,,28565.42
SWE,Sweden,Ringhals,3932,57.2574,12.1087,Nuclear,,,,,27971.48
JPN,Japan,Genkai,3478,33.5152,129.836,Nuclear,,,,,27783.47
USA,United States of America,Browns Ferry,3494,34.7042,-87.1189,Nuclear,,,,,27718.9
JPN,Japan,Takahama,3392,35.5223,135.5036,Nuclear,,,,,27096.48
JPN,Japan,Hekinan power station,4100,34.8352,136.9609,Coal,,,,,26937
USA,United States of America,Grand Coulee,6809,47.9575,-118.9773,Hydro,28430.08,28357.88,33342.94,28435.57,26111.69
SAU,Saudi Arabia,GHAZLAN,4256,26.85,49.896,Gas,,,,,26070.14
CAN,Canada,Darlington,3740,43.8697,-78.7239,Nuclear,,,,,26045.79
CAN,Canada,Churchill Falls,5428,53.5294,-63.9651,Hydro,22385.04,22385.04,22699.3,22761.49,25672.77
CHN,China,Waigaoqiao power station,5240,31.3536,121.6003,Coal,,,,,25532.89
SAU,Saudi Arabia,Hajr for Electricity Production Co. Station,4098,25.83,50.132,Gas,,,,,25102.31
IND,India,VINDH_CHAL STPS,4760,24.0983,82.6719,Coal,,,,,25075.47
RUS,Russia,CHP-23,5690,55.9162,37.6879,Gas,,,,,24960.54
CHN,China,Guodian Beilun power station,5060,29.9433,121.8131,Coal,,,,,24655.81
KOR,South Korea,Samcheonpo,3240,34.9103,128.1085,Coal,,,,,24512.81
CHN,China,Guohua Taishan power station,5000,21.8664,112.9228,Coal,,,,,24363.45
CHN,China,Jiaxing power station,5000,30.6283,121.1436,Coal,,,,,24363.45
IND,India,MUNDRA TPP,4620,22.823,69.5532,Coal,,,,,24337.96
BRA,Brazil,Tucuruí,8535,-3.8322,-49.6522,Hydro,24669.32,32649.15,27270.48,29915,24000.54
ZAF,South Africa,Kendal power station,4116,-26.088,28.9689,Coal,,,,,23759.51
ZAF,South Africa,Majuba power station,4110,-27.0955,29.7706,Coal,,,,,23724.88
CAN,Canada,Bruce B,3390,44.319,-81.6027,Nuclear,,,,,23608.35
SAU,Saudi Arabia,QURAYYAH- CC,3846,25.86,50.118,Gas,,,,,23558.68
KAZ,Kazakhstan,Ekibastuz-1 power station,4000,51.888,75.377,Coal,,,,,23506.59
MYS,Malaysia,Tanjung Bin power station,3244,1.334,103.5422,Coal,,,,,23137.57
ZAF,South Africa,Matimba power station,3990,-23.6678,27.6128,Coal,,,,,23032.18
RUS,Russia,Krasnoyarsk,6000,55.9367,92.2956,Hydro,26888.95,23009.27,25052.2,27343.24,23009.27
SWE,Sweden,Forsmark,3227,60.4028,18.1744,Nuclear,,,,,22956.25
ARE,United Arab Emirates,Shuweihat S1,4889,24.165,52.568,Gas,,,,,22917.06
USA,United States of America,Peach Bottom,2876.4,39.7589,-76.2687,Nuclear,,,,,22819.3
JPN,Japan,Futtsu,5040,35.3421,139.8319,Gas,,,,,22802.51
POL,Poland,Bełchatów,5472,51.2679,19.3265,Coal,,,,,22729.96
USA,United States of America,Turkey Point,2861.2,25.4356,-80.3308,Nuclear,,,,,22698.72
CAN,Canada,Bruce A,3220,44.3391,-81.5747,Nuclear,,,,,22424.45
FRA,France,CRUAS,3660,44.6325,4.7546,Nuclear,,,,,22130.38
FRA,France,TRICASTIN 1,3660,44.3311,4.7311,Nuclear,,,,,22130.38
CHN,China,CPI Pingwei power station,4540,32.6842,116.9021,Coal,,,,,22122.01
CHN,China,Zouxian power station,4540,35.3256,116.9261,Coal,,,,,22122.01
CHN,China,Datong - Tashan Coal,4520,39.9261,113.0843,Coal,,,,,22024.56
FRA,France,BLAYAIS,3640,45.256,-0.6932,Nuclear,,,,,22009.45
FRA,France,CHINON,3620,47.2254,0.1656,Nuclear,,,,,21888.52
JPN,Japan,Higashi Niigata,4810,37.9963,139.2373,Gas,,,,,21761.92
JPN,Japan,Kawagoe,4802,35.0076,136.689,Gas,,,,,21725.72
FRA,France,BUGEY,3580,45.7973,5.2706,Nuclear,,,,,21646.65
FRA,France,DAMPIERRE,3560,47.7321,2.5185,Nuclear,,,,,21525.72
USA,United States of America,South Texas Project,2708.6,28.795,-96.0481,Nuclear,,,,,21488.1
CHN,China,Huaneng Qinbei power station,4400,35.1679,112.7162,Coal,,,,,21439.83
CHN,China,Ninghai power station,4400,29.481,121.5109,Coal,,,,,21439.83
RUS,Russia,Smolensk,3000,54.1647,33.2367,Nuclear,,,,,21424.06
ZAF,South Africa,Lethabo power station,3708,-26.7403,27.975,Coal,,,,,21404.34
KOR,South Korea,Shin-Kori,3340,35.3271,129.3017,Nuclear,,,,,21220.19
USA,United States of America,Oconee,2666.7,34.7939,-82.8986,Nuclear,,,,,21155.69
ZAF,South Africa,Tutuka power station,3654,-26.7767,29.3527,Coal,,,,,21092.63
IND,India,MUNDRA UMPP,4000,22.8158,69.5281,Coal,,,,,21071.83
IND,India,SASAN UMPP,3960,23.9784,82.6275,Coal,,,,,20861.11
ZAF,South Africa,Duvha power station,3600,-25.9595,29.3409,Coal,,,,,20780.91
ZAF,South Africa,Matla power station,3600,-26.2804,29.1423,Coal,,,,,20780.91
CHN,China,Houshi power station,4200,24.3031,118.1261,Coal,,,,,20465.3
CHN,China,Huaneng Yuhuan power station,4200,28.1142,121.1398,Coal,,,,,20465.3
BEL,Belgium,DOEL 4,2910,51.3254,4.2597,Nuclear,,,,,20203.97
CHN,China,Huaneng Haimen power station,4144,23.1899,116.6553,Coal,,,,,20192.43
USA,United States of America,Watts Bar Nuclear Plant,2539.8,35.6021,-84.7895,Nuclear,,,,,20148.96
USA,United States of America,TalenEnergy Susquehanna,2532,41.0919,-76.1462,Nuclear,,,,,20087.08
CHN,China,Castle Peak power station,4108,22.376,113.9214,Coal,,,,,20017.01
KOR,South Korea,Kori,3137,35.3199,129.2948,Nuclear,,,,,19930.46
CHN,China,Guodian Taizhou power station,4000,32.1872,119.9145,Coal,,,,,19490.76
CHN,China,Datong power station,3990,40.0279,113.2933,Coal,,,,,19442.03
USA,United States of America,Braidwood Generation Station,2449.8,41.2435,-88.2286,Nuclear,,,,,19434.96
USA,United States of America,Byron Generating Station,2449.8,42.0742,-89.2819,Nuclear,,,,,19434.96
USA,United States of America,Sequoyah,2441,35.2267,-85.0917,Nuclear,,,,,19365.15
USA,United States of America,McGuire,2440.6,35.4331,-80.9486,Nuclear,,,,,19361.98
CHN,China,Guangdong Shajiao power complex,3970,22.7489,113.6807,Coal,,,,,19344.58
CHN,China,Ligang power station,3960,31.9403,120.0764,Coal,,,,,19295.85
CHN,China,Xinyuan Aluminum power station,3960,36.6148,116.2194,Coal,,,,,19295.85
USA,United States of America,Comanche Peak,2430,32.2984,-97.7855,Nuclear,,,,,19277.88
USA,United States of America,Vogtle,2430,33.1427,-81.7625,Nuclear,,,,,19277.88
THA,Thailand,Bang Pakong,4384,13.501,101.0253,Gas,,,,,19171.61
USA,United States of America,Catawba,2410.2,35.0514,-81.0694,Nuclear,,,,,19120.8
KWT,Kuwait,Az Zour South CCGT,5805,28.7072,48.3742,Gas,,,,,19049.96
USA,United States of America,PSEG Salem Generating Station,2381.8,39.4625,-75.5358,Nuclear,,,,,18895.5
CHN,China,Shidongkou power station,3820,31.4651,121.4048,Coal,,,,,18613.67
CHN,China,Longtan,6300,25.0277,107.0431,Hydro,18392.19,20393.51,19193.32,22304.87,18607.73
USA,United States of America,LaSalle Generating Station,2340,41.2455,-88.6691,Nuclear,,,,,18563.89
SWE,Sweden,Oskarshamn,2603,57.413,16.6683,Nuclear,,,,,18517.23
USA,United States of America,W A Parish,4008.4,29.4828,-95.6311,Coal,,,,,18515.5
IDN,Indonesia,PLTU Suralaya,3400,-5.892,106.03,Coal,,,,,18502.72
UKR,Ukraine,South Ukraine,3000,47.812,31.22,Nuclear,,,,,18496.25
USA,United States of America,Diablo Canyon,2323,35.2115,-120.8555,Nuclear,,,,,18429.02
CHN,China,Suizhong power station,3760,40.0793,120.0089,Coal,,,,,18321.31
SAU,Saudi Arabia,SHAIBA (SEC),6794,20.63,39.555,Oil,,,,,18287.07
FRA,France,CHOOZ,3000,50.09,4.7894,Nuclear,,,,,18139.65
USA,United States of America,Donald C Cook,2285.3,41.9756,-86.5652,Nuclear,,,,,18129.94
CHN,China,Huaneng Shangdu power station,3720,42.2237,116.0293,Coal,,,,,18126.4
FRA,France,CIVAUX,2990,46.4563,0.6548,Nuclear,,,,,18079.19
USA,United States of America,Limerick,2277,40.2243,-75.5874,Nuclear,,,,,18064.09
SAU,Saudi Arabia,MARAFIQ IWPP (1),2941.3,26.9,49.769,Gas,,,,,18016.94
KOR,South Korea,Wolsong,2799,35.7111,129.4743,Nuclear,,,,,17783.03
CHN,China,Wujiaqu power station,3640,44.2686,87.6881,Coal,,,,,17736.59
KWT,Kuwait,Sabiya,5366.5,29.567,48.171,Gas,,,,,17610.96
CHN,China,Nuozhadu,5850,22.6409,100.4287,Hydro,13753.82,18383.11,18942.35,19516.13,17536.51
UKR,Ukraine,Rivne (Rouno),2835,51.3245,25.8974,Nuclear,,,,,17478.95
IND,India,TIRORA TPP,3300,21.4129,79.9671,Coal,,,,,17384.26
JPN,Japan,Onagawa,2174,38.4,141.5,Nuclear,,,,,17366.67
ZAF,South Africa,Kriel power station,3000,-26.254,29.1801,Coal,,,,,17317.43
DEU,Germany,Kernkraft Gundremmingen,2572,48.515,10.4016,Nuclear,,,,,17284.96
USA,United States of America,Millstone,2162.9,41.3107,-72.1677,Nuclear,,,,,17158.9
USA,United States of America,St Lucie,2160,27.3486,-80.2464,Nuclear,,,,,17135.89
AUS,Australia,Bayswater,2640,-32.3953,150.9491,Coal,,,,,17049.59
DEU,Germany,Niederaussem power station,3430,50.993,6.6685,Coal,,,,,16863.13
UZB,Uzbekistan,Syrdarya,3000,40.2287,69.1005,Gas,,,,,16746.71
CHN,China,Jiangsu Nantong power station,3404,32.0321,120.7692,Coal,,,,,16586.63
CHN,China,Huaneng Yimin power station,3400,48.5497,119.7739,Coal,,,,,16567.14
CHN,China,Jinping II,4400,28.2485,101.6445,Hydro,10826.98,15291.79,16543.15,18041.29,16543.15
USA,United States of America,Scherer,3564,33.0606,-83.8075,Coal,,,,,16462.74
CHN,China,SDIC Qinzhou power station,3360,21.7012,108.625,Coal,,,,,16372.24
JPN,Japan,Sodegaura,3600,35.4619,139.977,Gas,,,,,16287.5
CHN,China,Xuzhou Pengcheng power station,3340,34.3781,117.1763,Coal,,,,,16274.78
CHN,China,CPI Changshu-1 power station,3320,31.7563,120.9731,Coal,,,,,16177.33
CHN,China,Huadian Ningxia Lingwu power station,3320,38.1483,106.3463,Coal,,,,,16177.33
USA,United States of America,Bowen,3498.6,34.1256,-84.9222,Coal,,,,,16160.64
JPN,Japan,Ikata,2022,33.4909,132.3088,Nuclear,,,,,16152.44
FRA,France,ST ALBAN,2670,45.4043,4.7554,Nuclear,,,,,16144.29
ESP,Spain,CN ALMARAZ 1,2016.9,39.807,-5.6986,Nuclear,,,,,16113.15
FRA,France,FLAMANVILLE,2660,49.5366,-1.8823,Nuclear,,,,,16083.83
FRA,France,PENLY,2660,49.9764,1.2107,Nuclear,,,,,16083.83
CHN,China,Yangcheng power station,3300,35.467,112.5739,Coal,,,,,16079.87
CHN,China,Pu Bu Gou,4260,29.21,102.84,Hydro,13262.21,14805.23,14304.25,17467.25,16016.78
USA,United States of America,Dresden Generating Station,2018.6,41.39,-88.27,Nuclear,,,,,16014.13
USA,United States of America,Quad Cities Generating Station,2018.6,41.7261,-90.3103,Nuclear,,,,,16014.13
JPN,Japan,Tomari,2000,43.0367,140.5125,Nuclear,,,,,15976.69
THA,Thailand,Ratchaburi (RATCHGEN),3645,13.5979,99.8841,Gas,,,,,15939.9
ESP,Spain,ASCO GR,1990.5,41.2008,0.5679,Nuclear,,,,,15902.24
USA,United States of America,Brunswick Nuclear,2003.2,33.9597,-78.0114,Nuclear,,,,,15891.96
CHN,China,Hanchuan power station,3260,30.6565,113.9173,Coal,,,,,15884.97
CHN,China,Zhangjiagang Shazhou power station,3260,31.989,120.6884,Coal,,,,,15884.97
FRA,France,BELLEVILLE,2620,47.5103,2.875,Nuclear,,,,,15841.96
FRA,France,GOLFECH,2620,44.106,0.8443,Nuclear,,,,,15841.96
FRA,France,NOGENT,2620,48.5171,3.5181,Nuclear,,,,,15841.96
IND,India,RIHAND,3000,24.027,82.7915,Coal,,,,,15803.87
IND,India,TALCHER STPS,3000,21.0966,85.074,Coal,,,,,15803.87
RUS,Russia,Krostromskaya,3600,57.4596,41.1741,Gas,,,,,15792.25
MEX,Mexico,Plutarco Elías Calles (Petacalco),2778.4,17.9837,-102.1154,Coal,,,,,15787.81
IND,India,SIPAT STPS,2980,22.13,82.293,Coal,,,,,15698.51
TUR,Turkey,Afşin Elbistan Termik Santrali,2795,38.3537,36.981,Coal,,,,,15654.31
CHN,China,Ahai,4750,27.3488,100.5061,Hydro,11167.63,19482.09,14239.04,15846.43,15625.61
BRA,Brazil,Belo Monte,3327.45544,-3.1264,-51.775,Hydro,17396.84,16761.09,16507.75,16552.98,15594.91
CHN,China,Chaozhou Sanbaimen power station,3200,23.5655,117.0973,Coal,,,,,15592.61
CHN,China,Fujian Hongshan power station,3200,24.7277,118.7497,Coal,,,,,15592.61
CHN,China,Guangdong Huilai power station,3200,23.0056,116.5468,Coal,,,,,15592.61
TWN,Taiwan,Hsinta (coal),2200,22.8558,120.1972,Coal,,,,,15556.37
USA,United States of America,North Anna,1960.4,38.06,-77.7897,Nuclear,,,,,15552.41
BGR,Bulgaria,KOZLODUY,2000,43.7438,23.7723,Nuclear,,,,,15544.99
SGP,Singapore,Senoko I-VII CCGT Power Plants Singapore,2807,1.4655,103.7996,Gas,,,,,15498.48
CHN,China,Dalate power station,3180,40.367,109.997,Coal,,,,,15495.15
KOR,South Korea,Samcheok Green power station,2044,37.186,129.3418,Coal,,,,,15464.25
USA,United States of America,Gibson,3339.5,38.3722,-87.7658,Coal,,,,,15425.73
IND,India,CHANDRAPUR_Coal,2920,20.0063,79.29,Coal,,,,,15382.43
SAU,Saudi Arabia,QURAYYAH -STEAM,2500,25.86,50.118,Gas,,,,,15313.76
USA,United States of America,Monroe (MI),3293.1,41.8906,-83.3464,Coal,,,,,15211.4
KOR,South Korea,Shin Boryeong power station,2000,36.3846,126.4862,Coal,,,,,15131.36
HUN,Hungary,Paksi Atomerőmű,1886.8,46.5739,18.8536,Nuclear,,,,,15111.29
USA,United States of America,Nine Mile Point Nuclear Station,1901.1,43.5211,-76.41,Nuclear,,,,,15081.97
CAN,Canada,Pickering B,2160,43.8096,-79.0639,Nuclear,,,,,15042.49
USA,United States of America,West County Energy Center,4263,26.6986,-80.3747,Gas,,,,,15033.45
RUS,Russia,Bratsk HPP,4500,56.2861,101.7842,Hydro,19163.51,16490.82,17459.55,19216.02,14983.49
MYS,Malaysia,Tg. Bin Energy,2100,1.3348,103.5422,Coal,,,,,14978.08
CHN,China,Fangjiashan,2024,30.44,120.94,Nuclear,,,,,14942.37
THA,Thailand,Mae Mah,2400,18.2963,99.7499,Coal,,,,,14910.59
CZE,Czech Republic,Temelín,2133,49.1796,14.3795,Nuclear,,,,,14874.31
IRN,Iran,Damavand C.C.,2800,35.4156,51.851,Gas,,,,,14872.54
CHN,China,Fangchenggang,2000,21.67,108.56,Nuclear,,,,,14765.19
RUS,Russia,Permskaya,3363,58.4959,56.3471,Gas,,,,,14752.6
USA,United States of America,Calvert Cliffs Nuclear Power Plant,1850.4,38.4344,-76.4417,Nuclear,,,,,14679.75
USA,United States of America,Edwin I Hatch,1848,31.9342,-82.3447,Nuclear,,,,,14660.71
USA,United States of America,Beaver Valley,1846.8,40.6219,-80.4336,Nuclear,,,,,14651.19
USA,United States of America,Arkansas Nuclear One,1845,35.311,-93.2351,Nuclear,,,,,14636.91
CHN,China,Tianjin Beijiang power station,3000,39.2193,117.9293,Coal,,,,,14618.07
CHN,China,Tianwan,1980,34.69,119.46,Nuclear,,,,,14617.54
CHN,China,Jianbi power station,2990,32.1779,119.5755,Coal,,,,,14569.34
KAZ,Kazakhstan,Aksu power station,2450,52.12,76.875,Coal,,,,,14397.78
BEL,Belgium,TIHANGE 3,2053.8,50.5342,5.2751,Nuclear,,,,,14259.42
BHR,Bahrain,Alba Power Station,2204,26.0945,50.6008,Gas,,,,,14257.01
CZE,Czech Republic,Dukonavy,2040,49.0852,16.1479,Nuclear,,,,,14225.78
JPN,Japan,Sendai,1780,31.8335,130.1887,Nuclear,,,,,14219.26
AUS,Australia,Liddell,2200,-32.3713,150.9776,Coal,,,,,14207.99
CHN,China,Datang Sanmenxia power station,2900,34.6847,111.0274,Coal,,,,,14130.8
CAN,Canada,Sundance,2141,53.5075,-114.5569,Coal,,,,,14119.5
USA,United States of America,Joseph M Farley,1776.4,31.2231,-85.1116,Nuclear,,,,,14092.69
CAN,Canada,La Grande-3,2417,53.7274,-75.9874,Hydro,14158.88,14049.78,14069.11,14088.27,14086.95
AUS,Australia,Loy Yang A,2180,-38.2536,146.5746,Coal,,,,,14078.82
QAT,Qatar,Ras Laffan C (Ras Qartas) CCGT Power Plant Qatar,2730,25.936,51.5235,Gas,,,,,13972.94
JPN,Japan,Shika,1746,37.0609,136.7265,Nuclear,,,,,13947.65
CHN,China,Daya Bay,1888,22.6,114.54,Nuclear,,,,,13938.34
FIN,Finland,Olkiluoto 1,1760,61.2371,21.4433,Nuclear,,,,,13929.4
BRA,Brazil,Jirau,3750,-9.2664,-64.6478,Hydro,,,,,13864.76
IND,India,ANPARA,2630,24.201,82.7891,Coal,,,,,13854.72
JPN,Japan,Shin Nagoya,3058,35.0645,136.8767,Gas,,,,,13835.33
JPN,Japan,J-POWER Tachibana-wan power station,2100,33.8572,134.6514,Coal,,,,,13797
DEU,Germany,Janschwalde power station,2790,51.8344,14.459,Coal,,,,,13716.65
MAR,Morocco,Centrale Thermique de Jorf Lasfar (JLEC),2020,33.1041,-8.6378,Coal,,,,,13710.21
IND,India,KORBA STPS,2600,22.3881,82.6858,Coal,,,,,13696.69
IND,India,R_GUNDEM STPS,2600,18.7572,79.456,Coal,,,,,13696.69
CHN,China,Xiaowan,4200,24.7043,100.0913,Hydro,10883.86,12405.15,13747.91,15023.67,13599.64
ZAF,South Africa,Arnot power station,2352,-25.9444,29.7917,Coal,,,,,13576.86
CHN,China,Meizhou Wan power station,2786,25.1609,119.0334,Coal,,,,,13575.31
USA,United States of America,John E Amos,2932.6,38.4731,-81.8233,Coal,,,,,13546.19
CHN,China,Jinping I,3600,28.1823,101.6316,Hydro,8858.44,12511.46,13535.3,14761.05,13535.3
USA,United States of America,Surry,1695,37.1661,-76.6986,Nuclear,,,,,13446.92
RUS,Russia,Novovoronezh,1880,51.2822,39.21,Nuclear,,,,,13425.74
IND,India,KUNDANKULAM,2000,8.1691,77.1327,Nuclear,,,,,13384.29
IND,India,Kudankulam,2000,8.1689,77.7126,Nuclear,,,,,13384.29
IND,India,Shri Singaji MALWA TPP,2520,22.0971,76.5317,Coal,,,,,13275.25
CHN,China,Huaneng Fuzhou power station,2720,25.9909,119.4816,Coal,,,,,13253.71
MOZ,Mozambique,Cahora Bassa,2075,-15.5859,32.7047,Hydro,,,,,13243.7
ZAF,South Africa,Koeberg,1800,-33.6737,18.4281,Nuclear,,,,,13236.99
BRA,Brazil,Santo Antônio,3568,-8.8011,-63.9497,Hydro,,,,,13191.86
CHN,China,Henan Xinmi power station,2700,34.5,113.5986,Coal,,,,,13156.26
JPN,Japan,Haramachi power station,2000,37.666,141.0165,Coal,,,,,13140
JPN,Japan,Hitachinaka power station,2000,36.4368,140.6138,Coal,,,,,13140
JPN,Japan,Matsuura power station,2000,33.3552,129.6925,Coal,,,,,13140
JPN,Japan,Shinchi power station,2000,37.8427,140.9456,Coal,,,,,13140
RUS,Russia,Reftinskaya GRES,3800,57.1067,61.7117,Coal,,,,,13126.79
ITA,Italy,MONTALTO (Alessandro Volta),3446,42.3572,11.5373,Gas,,,,,13119.43
USA,United States of America,James H Miller Jr,2822,33.6319,-87.0597,Coal,,,,,13035.31
JPN,Japan,Chiba,2880,35.5648,140.1053,Gas,,,,,13030
CHN,China,Huaneng Laiwu power station,2660,36.1339,117.685,Coal,,,,,12961.35
CHN,China,Xinhai power station,2660,34.5782,119.1275,Coal,,,,,12961.35
CHN,China,Huaneng Dezhou power station,2650,37.4493,116.2416,Coal,,,,,12912.63
CHN,China,Huaneng Luohuang power station,2640,29.3467,106.4339,Coal,,,,,12863.9
CHN,China,Lusigang power station,2640,32.0577,121.7267,Coal,,,,,12863.9
CHN,China,Shenhua Anqing power station,2640,30.5411,117.1717,Coal,,,,,12863.9
CHN,China,Shenhua Guoneng Hami power station,2640,42.4112,93.0092,Coal,,,,,12863.9
CHN,China,WEnergy Maanshan Power Station,2640,31.7375,118.4797,Coal,,,,,12863.9
CHN,China,Weiqiao Huji power station,2640,37.3588,117.7772,Coal,,,,,12863.9
CHN,China,Weiqiao Zouping-1 power station,2640,36.9107,117.7854,Coal,,,,,12863.9
CHN,China,Weiqiao Zouping-6 power station,2640,36.8979,117.7844,Coal,,,,,12863.9
CHN,China,Weiqiao Zouping-7 power station,2640,36.8972,117.8613,Coal,,,,,12863.9
CHN,China,Laxiwa,4200,36.0703,101.1855,Hydro,12310.78,12861.76,13034.94,16454.5,12861.76
PAK,Pakistan,Tarbela,3478,34.0889,72.6861,Hydro,12794.61,12794.61,13568.19,13605.36,12794.61
RUS,Russia,Ust Illminsk (HPP),3840,57.9683,102.6958,Hydro,16352.86,14072.16,15379.64,16397.67,12785.91
EGY,Egypt,Kuriemat 2,2754,29.2693,31.224,Gas,,,,,12776.9
DEU,Germany,Boxberg power station,2585,51.4163,14.5619,Coal,,,,,12708.8
KOR,South Korea,Shin-Wolsong,2000,35.7221,129.4786,Nuclear,,,,,12706.7
SAU,Saudi Arabia,Riyadh 8,2071.92,24.6,46.571,Gas,,,,,12691.55
CHN,China,Puqi Xianning power station,2600,29.6653,113.8734,Coal,,,,,12668.99
CHN,China,Tongling Wanneng power station,2600,30.8818,117.7644,Coal,,,,,12668.99
KOR,South Korea,Incheon,3052,37.5111,126.6078,Gas,,,,,12651.09
IND,India,KORADI,2400,21.2414,79.096,Coal,,,,,12643.09
IND,India,KUDGI,2400,16.4994,75.8349,Coal,,,,,12643.09
IND,India,TAMNAR TPP,2400,22.0987,83.4513,Coal,,,,,12643.09
SAU,Saudi Arabia,Riyadh 12,2055.6,24.79,45.621,Gas,,,,,12591.58
CHN,China,Fangchenggang Coal,2580,21.5918,108.3947,Coal,,,,,12571.54
CHN,China,Huainan Tianji power station,2580,32.7456,116.8134,Coal,,,,,12571.54
CHN,China,Pucheng power station,2580,34.9783,109.8,Coal,,,,,12571.54
RUS,Russia,Kola NPP,1760,67.4667,32.4667,Nuclear,,,,,12568.78
CHN,China,Zhangjiakou power station,2560,40.6597,114.9439,Coal,,,,,12474.08
UZB,Uzbekistan,Tashkent,2230,41.3822,69.3677,Gas,,,,,12448.38
CHN,China,Huaneng Shangan power station,2540,38.057,114.1966,Coal,,,,,12376.63
UKR,Ukraine,Khmelnytska,2000,50.3024,26.6473,Nuclear,,,,,12330.83
IND,India,KAHALGAON,2340,25.2349,87.2635,Coal,,,,,12327.02
CHN,China,Huaneng Yueyang power station,2524,29.4498,113.1623,Coal,,,,,12298.67
CHN,China,Anhui Bengbu power station,2520,32.7845,117.115,Coal,,,,,12279.18
CHN,China,Daba power station,2520,37.9897,105.9258,Coal,,,,,12279.18
CHN,China,Datang Ningde power station,2520,26.7575,119.7359,Coal,,,,,12279.18
